"Fecha","Título","Url"
2019-03-29,"La protección de datos, a debate en Sevilla","http://ctpdandalucia.es/es/content/la-proteccion-de-datos-debate-en-sevilla"
2019-03-20,"El Consejo de Transparencia y la Agencia Española de Protección de Datos organizan un ciclo de jornadas en Sevilla y Málaga","http://ctpdandalucia.es/es/content/el-consejo-de-transparencia-y-la-agencia-espanola-de-proteccion-de-datos-organizan-un-ciclo"
2019-03-04,"Transparencia exige a la RTVA a facilitar el gasto realizado en productoras audiovisuales durante el periodo 2013-2017","http://ctpdandalucia.es/es/content/transparencia-exige-la-rtva-facilitar-el-gasto-realizado-en-productoras-audiovisuales"
2019-03-04,"El Consejo facilita orientaciones para proteger los datos identificativos de los interesados en los actos administrativos","http://ctpdandalucia.es/es/content/el-consejo-facilita-orientaciones-para-proteger-los-datos-identificativos-de-los-interesados"
2019-02-26,"Manuel Medina y Marta Bosquet mantienen su primer encuentro institucional","http://ctpdandalucia.es/es/content/manuel-medina-y-marta-bosquet-mantienen-su-primer-encuentro-institucional"
2019-02-04,"El Consejo pone en marcha el ‘Plan de actuación bienal 2019-2020’","http://ctpdandalucia.es/es/content/el-consejo-pone-en-marcha-el-plan-de-actuacion-bienal-2019-2020"
2019-01-28,"Transparencia requiere a la Mancomunidad del Aljarafe a publicar las retribuciones de sus altos cargos y los órdenes del día de la Junta de Gobierno","http://ctpdandalucia.es/es/content/transparencia-requiere-la-mancomunidad-del-aljarafe-publicar-las-retribuciones-de-sus-altos"
"2018-12","Transparencia en los parlamentos autonómicos","http://ctpdandalucia.es/es/content/transparencia-en-los-parlamentos-autonomicos-0"
2018-12-28,"Transparencia apremia a Educación a proporcionar la relación de plazas escolares ofertadas y ocupadas por localidades en Andalucía desde el curso 2011/2012","http://ctpdandalucia.es/es/content/transparencia-apremia-educacion-proporcionar-la-relacion-de-plazas-escolares-ofertadas-y"
2018-12-14,"Transparencia somete a consulta pública previa su ‘Plan de actuación bienal 2019-2020’","http://ctpdandalucia.es/es/content/transparencia-somete-consulta-publica-previa-su-plan-de-actuacion-bienal-2019-2020"
2018-12-12,"Transparencia dictamina que las bolsas de contratación de las agencias públicas sanitarias deben incluir el listado de candidatos con nombre y apellidos","http://ctpdandalucia.es/es/content/transparencia-dictamina-que-las-bolsas-de-contratacion-de-las-agencias-publicas-sanitarias"
2018-12-06,"Entra en vigor la Ley Orgánica de Protección de Datos Personales, que introduce importantes modificaciones en la Ley de Transparencia","http://ctpdandalucia.es/es/content/entra-en-vigor-la-ley-organica-de-proteccion-de-datos-personales-que-introduce-importantes"
2018-12-04,"Transparencia apremia al Ayuntamiento de Castilblanco a subsanar incumplimientos en publicidad activa de su portal web para hacer accesible la información al ciudadano","http://ctpdandalucia.es/es/content/transparencia-apremia-al-ayuntamiento-de-castilblanco-subsanar-incumplimientos-en-publicidad"
2018-11-13,"El Consejo participa en la conmemoración del 25 aniversario de la Agencia Española de Protección de Datos","http://ctpdandalucia.es/es/content/el-consejo-participa-en-la-conmemoracion-del-25-aniversario-de-la-agencia-espanola-de"
2018-11-06,"El Consejo de Transparencia insta al Ayuntamiento de Sevilla a facilitar información sobre la ocupación pública de unos veladores","http://ctpdandalucia.es/es/content/el-consejo-de-transparencia-insta-al-ayuntamiento-de-sevilla-facilitar-informacion-sobre-la"
2018-10-05,"La Diputación de Granada y el Consejo se unen para fortalecer el papel de la mujer en el sistema de transparencia","http://ctpdandalucia.es/es/content/la-diputacion-de-granada-y-el-consejo-se-unen-para-fortalecer-el-papel-de-la-mujer-en-el"
2018-10-03,"El Consejo de Transparencia ampara el derecho ciudadano a conocer el listado de odontólogos y los seguros de responsabilidad civil de las clínicas Idental de Andalucía","http://ctpdandalucia.es/es/content/el-consejo-de-transparencia-ampara-el-derecho-ciudadano-conocer-el-listado-de-odontologos-y"
2018-09-28,"Los consejos y comisionados de transparencia de España reclaman a los poderes públicos un compromiso decidido en la implantación de la nueva cultura de la transparencia","http://www.ctpdandalucia.es/es/content/los-consejos-y-comisionados-de-transparencia-de-espana-reclaman-los-poderes-publicos-un"
2018-09-26,"Arranca el III Congreso Internacional de Transparencia que reunirá a más de 300 expertos de América Latina y Europa durante tres días","http://www.ctpdandalucia.es/es/content/arranca-el-iii-congreso-internacional-de-transparencia-que-reunira-mas-de-300-expertos-de"
2018-09-24,"Arranca el ciclo de jornadas para acercer la Ley de Transparencia a la población femenina","http://www.ctpdandalucia.es/es/content/arranca-el-ciclo-de-jornadas-para-acercer-la-ley-de-transparencia-la-poblacion-femenina"
2018-09-17,"El Consejo de Transparencia insta al Colegio de Arquitectos y de Aparejadores de Sevilla a facilitar información sobre la compañía aseguradora de profesionales colegiados","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-insta-al-colegio-de-arquitectos-y-de-aparejadores-de-sevilla"
2018-09-12,"Cádiz se convertirá en la capital internacional de la transparencia con la celebración del Congreso que reunirá a las autoridades referentes de esta materia de Reino Unido y México","http://www.ctpdandalucia.es/es/content/cadiz-se-convertira-en-la-capital-internacional-de-la-transparencia-con-la-celebracion-del"
2018-09-11,"El Consejo de Transparencia asume la competencia efectiva en materia de protección de datos","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-asume-la-competencia-efectiva-en-materia-de-proteccion-de-datos"
2018-07-31,"El Consejo de Transparencia y la Diputación de Sevilla colaborarán para acercar la Ley de Transparencia a la población femenina","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-y-la-diputacion-de-sevilla-colaboraran-para-acercar-la-ley-de"
2018-07-25,"El Consejo de Transparencia triplica el número de resoluciones emitidas en el primer semestre del año con respecto al ejercicio anterior y supera las 360","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-triplica-el-numero-de-resoluciones-emitidas-en-el-primer"
2018-07-12,"El Consejo de Transparencia reconoce el derecho de los ciudadanos a conocer la partida presupuestaria destinada a los concejales por asistir a los plenos","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-reconoce-el-derecho-de-los-ciudadanos-conocer-la-partida"
2018-06-28,"Los organismos garantes de la transparencia de las Comunidades Autónomas y el Consejo estatal refuerzan su colaboración","http://www.ctpdandalucia.es/es/content/los-organismos-garantes-de-la-transparencia-de-las-comunidades-autonomas-y-el-consejo"
2018-06-25,"El Consejo de Transparencia apremia al Ayuntamiento de Isla Cristina a cumplir la Ley de Transparencia y a facilitar información sobre contratos, convenios y subvenciones","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-apremia-al-ayuntamiento-de-isla-cristina-cumplir-la-ley-de"
2018-06-12,"El director del Consejo arranca en Cádiz una ronda de contactos con las diputaciones provinciales para acercar la Ley de Transparencia a la población femenina","http://www.ctpdandalucia.es/es/content/el-director-del-consejo-arranca-en-cadiz-una-ronda-de-contactos-con-las-diputaciones"
2018-06-01,"El Consejo de Transparencia reclama al Ayuntamiento de Écija el cumplimiento de las obligaciones de publicidad activa en materia urbanística","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-reclama-al-ayuntamiento-de-ecija-el-cumplimiento-de-las"
2018-05-11,"Arranca el Portal de Datos Abiertos del Consejo de Transparencia que reforzará su compromiso con la rendición de cuentas y con la participación ciudadana","http://www.ctpdandalucia.es/es/content/arranca-el-portal-de-datos-abiertos-del-consejo-de-transparencia-que-reforzara-su-compromiso"
2018-04-24,"El Consejo lanza un aviso con motivo de la entrada en vigor del Reglamento Europeo de Protección de Datos","http://www.ctpdandalucia.es/es/content/el-consejo-lanza-un-aviso-con-motivo-de-la-entrada-en-vigor-del-reglamento-europeo-de"
2018-04-23,"El Consejo reconoce el derecho de la ciudadanía a conocer las cantidades abonadas a los registradores por gestionar los impuestos de Sucesiones y sobre Transmisiones Patrimoniales","http://www.ctpdandalucia.es/es/content/el-consejo-reconoce-el-derecho-de-la-ciudadania-conocer-las-cantidades-abonadas-los"
2018-04-20,"Presentación del portal de Datos Abiertos del Consejo","http://www.ctpdandalucia.es/es/content/presentacion-del-portal-de-datos-abiertos-del-consejo"
2018-04-10,"Los órganos garantes de la transparencia del Estado, Andalucía, Cataluña, Canarias, Galicia y Aragón y la Fundación Democracia y Gobierno Local impulsarán la difusión y el cumplimiento de las obligaciones de la ley en las administraciones locales","http://www.ctpdandalucia.es/es/content/los-organos-garantes-de-la-transparencia-del-estado-andalucia-cataluna-canarias-galicia-y"
2018-04-04,"El Consejo de Transparencia presentará su Portal de Datos Abiertos en la Semana de Gobierno Abierto","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-presentara-su-portal-de-datos-abiertos-en-la-semana-de-gobierno"
2018-03-23,"La Justicia da la razón al Consejo de Transparencia y obliga a la Empresa Pública de Turismo de Andalucía a facilitar información sobre contratación de personal ","http://www.ctpdandalucia.es/es/content/la-justicia-da-la-razon-al-consejo-de-transparencia-y-obliga-la-empresa-publica-de-turismo"
2018-03-15,"El Consejo de Transparencia duplica en 2017 el número de asuntos registrados con respecto al año anterior y supera los 760 ","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-duplica-en-2017-el-numero-de-asuntos-registrados-con-respecto-al"
2018-02-19,"El Consejo insta al Ayuntamiento jiennense de Espeluy a entregar información sobre adjudicaciones de contratos de los años 2015 y 2016","http://www.ctpdandalucia.es/es/content/el-consejo-insta-al-ayuntamiento-jiennense-de-espeluy-entregar-informacion-sobre"
2018-02-14,"El Consejo obliga al Ayuntamiento de Alcalá de Guadaíra a facilitar información urbanística y administrativa del mercado de abastos","http://www.ctpdandalucia.es/es/content/el-consejo-obliga-al-ayuntamiento-de-alcala-de-guadaira-facilitar-informacion-urbanistica-y"
2018-02-05,"El Consejo pone en marcha el Plan de Control e Inspección 2018 para mejorar el cumplimiento de las obligaciones de publicidad activa","http://www.ctpdandalucia.es/es/content/el-consejo-pone-en-marcha-el-plan-de-control-e-inspeccion-2018-para-mejorar-el-cumplimiento"
2018-01-23,"El Consejo andaluz participa en Madrid en el encuentro de autoridades de control estatal y autonómicas en materia de transparencia","http://www.ctpdandalucia.es/es/content/el-consejo-andaluz-participa-en-madrid-en-el-encuentro-de-autoridades-de-control-estatal-y"
2018-01-17,"La Consejería de Salud y el Consejo de Transparencia analizan el nuevo Reglamento de Protección de Datos de la Unión Europea","http://www.ctpdandalucia.es/es/content/la-consejeria-de-salud-y-el-consejo-de-transparencia-analizan-el-nuevo-reglamento-de"
2018-01-08,"El Consejo inicia procedimiento sancionador contra el Ayuntamiento de Almería por no facilitar adjudicaciones y prórrogas de contratos administrativos","http://www.ctpdandalucia.es/es/content/el-consejo-inicia-procedimiento-sancionador-contra-el-ayuntamiento-de-almeria-por-no"
2018-01-04,"El Consejo de Transparencia obliga a Chipiona, San Roque y Villamartín a facilitar información sobre bienes inmuebles exentos del pago de IBI","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-obliga-chipiona-san-roque-y-villamartin-facilitar-informacion"
2018-01-04,"El Consejo de Transparencia obliga a Alhaurín de la Torre, Álora, Cártama, Fuengirola y Estepona a facilitar información sobre bienes inmuebles exentos del pago de IBI","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-obliga-alhaurin-de-la-torre-alora-cartama-fuengirola-y-estepona"
2017-12-29,"El Consejo obliga a Almonte, Lepe, Palos de la Frontera y Valverde de Camino a facilitar los bienes inmuebles exentos del pago de IBI","http://www.ctpdandalucia.es/es/content/el-consejo-obliga-almonte-lepe-palos-de-la-frontera-y-valverde-de-camino-facilitar-los"
2017-12-29,"El Consejo obliga a Baza, Churriana de la Vega, Guadix, Huétor Vega, Ogíjares y Pinos Puente a facilitar los bienes inmuebles exentos del pago de IBI","http://www.ctpdandalucia.es/es/content/el-consejo-obliga-baza-churriana-de-la-vega-guadix-huetor-vega-ogijares-y-pinos-puente"
2017-12-18,"El Consejo de Transparencia y la Agencia Española de Protección de Datos abordan el estado de las instituciones andaluzas ante la nueva normativa europea","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-y-la-agencia-espanola-de-proteccion-de-datos-abordan-el-estado"
2017-12-07,"El Consejo de Transparencia apremia al Ayuntamiento de Almuñécar a facilitar información de su Relación de Puestos de Trabajo","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-apremia-al-ayuntamiento-de-almunecar-facilitar-informacion-de-su"
2017-11-28,"El director del Consejo de Transparencia subraya las obligaciones de publicidad activa que deben cumplir las entidades con financiación y subvenciones públicas","http://www.ctpdandalucia.es/es/content/el-director-del-consejo-de-transparencia-subraya-las-obligaciones-de-publicidad-activa-que"
2017-11-08,"El Consejo se marca como objetivo para los próximos dos años la asunción efectiva de la competencia en Protección de Datos y su consolidación","http://www.ctpdandalucia.es/es/content/el-consejo-se-marca-como-objetivo-para-los-proximos-dos-anos-la-asuncion-efectiva-de-la"
2017-11-02,"El Consejo obliga al Ayuntamiento de Sanlúcar la Mayor a publicar la agenda institucional del alcalde y los presupuestos municipales","http://www.ctpdandalucia.es/es/content/el-consejo-obliga-al-ayuntamiento-de-sanlucar-la-mayor-publicar-la-agenda-institucional-del"
2017-10-26,"El director del Consejo valora la Proposición de Ley Integral de Lucha contra la Corrupción por el fortalecimiento de la transparencia pública","http://www.ctpdandalucia.es/es/content/el-director-del-consejo-valora-la-proposicion-de-ley-integral-de-lucha-contra-la-corrupcion"
2017-10-11,"El director del Consejo reclama la asunción efectiva de la competencia en Protección de Datos para dar cumplimiento al Estatuto de Autonomía y a la Ley","http://www.ctpdandalucia.es/es/content/el-director-del-consejo-reclama-la-asuncion-efectiva-de-la-competencia-en-proteccion-de"
2017-10-09,"El Consejo de Transparencia supera ya las 400 reclamaciones sobre acceso a información pública en los nueve primeros meses del año","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-supera-ya-las-400-reclamaciones-sobre-acceso-informacion-publica"
2017-10-05,"El Consejo obliga al Ayuntamiento de Garrucha a proporcionar información relativa a un proceso de selección de personal","http://www.ctpdandalucia.es/es/content/el-consejo-obliga-al-ayuntamiento-de-garrucha-proporcionar-informacion-relativa-un-proceso"
2017-09-12,"El Consejo obliga al Ayuntamiento de Lanteira a facilitar información sobre bienes y patrimonio del alcalde, gastos de fiestas patronales y presupuestos","http://www.ctpdandalucia.es/es/content/el-consejo-obliga-al-ayuntamiento-de-lanteira-facilitar-informacion-sobre-bienes-y"
2017-09-05,"El Consejo insta a la Federación Andaluza de Motociclismo a facilitar el listado de solicitantes de voto por correo a las elecciones de 2016","http://www.ctpdandalucia.es/es/content/el-consejo-insta-la-federacion-andaluza-de-motociclismo-facilitar-el-listado-de-solicitantes"
2017-08-03,"El Consejo de Transparencia exige al Ayuntamiento de Cogollos Vega la publicación del Plan Económico-Financiero y de la Cuenta General","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-exige-al-ayuntamiento-de-cogollos-vega-la-publicacion-del-plan"
2017-08-02,"El Consejo de Transparencia abre a consulta pública el Plan de Actuación Bienal 2017-2018","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-abre-consulta-publica-el-plan-de-actuacion-bienal-2017-2018"
2017-08-01,"Publicada la información sobre recursos judiciales contra resoluciones del Consejo","http://www.ctpdandalucia.es/es/content/publicada-la-informacion-sobre-recursos-judiciales-contra-resoluciones-del-consejo"
2017-07-28,"La Justicia avala al Consejo de Transparencia y rechaza un recurso del PP sobre acceso a información pública relativa a cursos de formación","http://www.ctpdandalucia.es/es/content/la-justicia-avala-al-consejo-de-transparencia-y-rechaza-un-recurso-del-pp-sobre-acceso"
2017-07-24,"Las reclamaciones sobre acceso a información pública ante el Consejo de Transparencia se triplican en el segundo trimestre del año","http://www.ctpdandalucia.es/es/content/las-reclamaciones-sobre-acceso-informacion-publica-ante-el-consejo-de-transparencia-se"
2017-07-10,"El Consejo avanza en administración electrónica para mejorar la comunicación con la ciudadanía","http://www.ctpdandalucia.es/es/content/el-consejo-avanza-en-administracion-electronica-para-mejorar-la-comunicacion-con-la"
2017-07-05,"Medina considera la transparencia presupuesto imprescindible para un sistema de participación ciudadana legítimo y eficaz","http://www.ctpdandalucia.es/es/content/medina-considera-la-transparencia-presupuesto-imprescindible-para-un-sistema-de"
2017-06-21,"Andalucía participará en la jornada ‘Nuevos retos del Gobierno Abierto’","http://www.ctpdandalucia.es/es/content/andalucia-participara-en-la-jornada-nuevos-retos-del-gobierno-abierto"
2017-06-20,"Avances en Administración electrónica implantados en el Consejo","http://www.ctpdandalucia.es/es/content/avances-en-administracion-electronica-implantados-en-el-consejo"
2017-05-19,"Balance de las jornadas sobre la Ley de Transparencia de Andalucía y su aplicación a las Entidades Locales","http://www.ctpdandalucia.es/es/content/balance-de-las-jornadas-sobre-la-ley-de-transparencia-de-andalucia-y-su-aplicacion-las"
2017-05-18,"Formación a alcaldes y concejales en la Diputación de Cádiz","http://www.ctpdandalucia.es/es/content/formacion-alcaldes-y-concejales-en-la-diputacion-de-cadiz"
2017-05-18,"Acto de constitución de la Comisión Consultiva de la Transparencia","http://www.ctpdandalucia.es/es/content/acto-de-constitucion-de-la-comision-consultiva-de-la-transparencia-0"
2017-05-05,"Nuevo marco legislativo en materia de privacidad","http://www.ctpdandalucia.es/es/content/nuevo-marco-legislativo-en-materia-de-privacidad"
2017-05-02,"Asuntos registrados en 2017 en el Consejo a 1 de mayo","http://www.ctpdandalucia.es/es/content/asuntos-registrados-en-2017-en-el-consejo-1-de-mayo"
2017-04-27,"El particular sistema andaluz de control de la publicidad activa","http://www.ctpdandalucia.es/es/content/el-particular-sistema-andaluz-de-control-de-la-publicidad-activa"
2017-04-17,"El Consejo firma un Convenio de colaboración con la FAMP","http://www.ctpdandalucia.es/es/content/el-consejo-firma-un-convenio-de-colaboracion-con-la-famp"
2017-04-17,"Informe de evaluación de los órganos constitucionales y entes reguladores y del ranking oficial del cumplimiento de la Ley de transparencia","http://www.ctpdandalucia.es/es/content/informe-de-evaluacion-de-los-organos-constitucionales-y-entes-reguladores-y-del-ranking"
2017-04-07,"Hoy en la MENA Leadership Academy organizada por la Konrad Adenauer Stiftung","http://www.ctpdandalucia.es/es/content/hoy-en-la-mena-leadership-academy-organizada-por-la-konrad-adenauer-stiftung"
2017-04-06,"Jornada sobre la Ley de Transparencia Pública de Andalucía. Aplicación a entidades locales","http://www.ctpdandalucia.es/es/content/jornada-sobre-la-ley-de-transparencia-publica-de-andalucia-aplicacion-entidades-locales"
2017-04-05,"Jornada de Transparencia y Protección de Datos","http://www.ctpdandalucia.es/es/content/jornada-de-transparencia-y-proteccion-de-datos"
2017-04-04,"Principios de buen gobierno y cultura de cambio organizacional en la Administraciones Públicas","http://www.ctpdandalucia.es/es/content/principios-de-buen-gobierno-y-cultura-de-cambio-organizacional-en-la-administraciones"
2017-03-28,"El Consejo asiste a la presentación de MESTA en el CTBG","http://www.ctpdandalucia.es/es/content/el-consejo-asiste-la-presentacion-de-mesta-en-el-ctbg"
2017-03-08,"Jornada de estudio: Transparencia y Protección de Datos en la Universidad de Granada","http://www.ctpdandalucia.es/es/content/jornada-de-estudio-transparencia-y-proteccion-de-datos-en-la-universidad-de-granada"
2017-03-23,"Puedes ver las Jornadas sobre Protección de Datos y Transparencia en la Diputación de Granada","http://www.ctpdandalucia.es/es/content/puedes-ver-las-jornadas-sobre-proteccion-de-datos-y-transparencia-en-la-diputacion-de"
2017-03-14,"Jornadas de transparencia en la Diputación de Huelva","http://www.ctpdandalucia.es/es/content/jornadas-de-transparencia-en-la-diputacion-de-huelva"
2017-03-06,"El Consejo se reúne con la Konrad Adenauer Stiftung para explorar vías de colaboración entre ambas entidades","http://www.ctpdandalucia.es/es/content/el-consejo-se-reune-con-la-konrad-adenauer-stiftung-para-explorar-vias-de-colaboracion-entre"
2017-02-24,"El Consejo se incorpora como socio observador a la Red de EELL por la Transparencia y Participación Ciudadana de la FEMP","http://www.ctpdandalucia.es/es/content/el-consejo-se-incorpora-como-socio-observador-la-red-de-eell-por-la-transparencia-y"
2017-02-20,"XIV Reunión del Foro de Seguridad y Protección de Datos de Salud","http://www.ctpdandalucia.es/es/content/xiv-reunion-del-foro-de-seguridad-y-proteccion-de-datos-de-salud"
2017-02-14,"Más jornadas de transparencia en la Diputación de Jaén","http://www.ctpdandalucia.es/es/content/mas-jornadas-de-transparencia-en-la-diputacion-de-jaen"
2017-02-10,"Jornadas de transparencia en la Diputación de Almería","http://www.ctpdandalucia.es/es/content/jornadas-de-transparencia-en-la-diputacion-de-almeria"
2017-02-07,"Nombramiento de las personas que constituyen la Comisión Consultiva del Consejo","http://www.ctpdandalucia.es/es/content/nombramiento-de-las-personas-que-constituyen-la-comision-consultiva-del-consejo"
2017-02-01,"El Consejo imparte formación a Concejales y Alcaldes de Córdoba en la Diputación provincial","http://www.ctpdandalucia.es/es/content/el-consejo-imparte-formacion-concejales-y-alcaldes-de-cordoba-en-la-diputacion-provincial"
2016-12-01,"Resumen jornadas 30 de Noviembre: “¿Límites a la transparencia? Sí, pero argumentados”","http://www.ctpdandalucia.es/es/content/resumen-jornadas-30-de-noviembre-limites-la-transparencia-si-pero-argumentados"
2016-11-21,"CAMBIO DE SEDE: “Jornadas de Transparencia. Límites en el ejercicio del derecho de acceso y en la publicidad activa”","http://www.ctpdandalucia.es/es/content/cambio-de-sede-jornadas-de-transparencia-limites-en-el-ejercicio-del-derecho-de-acceso-y-en"
2016-11-14,"El Consejo ha mantenido una reunión en Málaga con la Red de Transparencia y Participación de la FEMP explorando la posibilidad de colaboración","http://www.ctpdandalucia.es/es/content/el-consejo-ha-mantenido-una-reunion-en-malaga-con-la-red-de-transparencia-y-participacion-de"
2016-11-11,"Jornada transparencia: Límites en el ejercicio del derecho de acceso y en materia de publicidad activa","http://www.ctpdandalucia.es/es/content/jornada-transparencia-limites-en-el-ejercicio-del-derecho-de-acceso-y-en-materia-de"
2016-11-09,"Jornada sobre la ley de transparencia pública de Andalucía","http://www.ctpdandalucia.es/es/content/jornada-sobre-la-ley-de-transparencia-publica-de-andalucia"
2016-10-25,"El Consejo ha mantenido una reunión con el Consejo de Transparencia y Buen Gobierno estatal y otras autoridades autonómicas de control en materia de transparencia","http://www.ctpdandalucia.es/es/content/el-consejo-ha-mantenido-una-reunion-con-el-consejo-de-transparencia-y-buen-gobierno-estatal"
2016-10-25,"Guía sobre Privacidad y seguridad en internet","http://www.ctpdandalucia.es/es/content/guia-sobre-privacidad-y-seguridad-en-internet"
2016-10-10,"XVIII Jornadas de estudio Gabinete Jurídico Junta de Andalucía","http://www.ctpdandalucia.es/es/content/xviii-jornadas-de-estudio-gabinete-juridico-junta-de-andalucia"
2016-10-04,"Jornadas Un año de transparencia - 7 de octubre","http://www.ctpdandalucia.es/es/content/jornadas-un-ano-de-transparencia-7-de-octubre"
2016-10-04,"Transformación digital de las AA.PP en Andalucía - Fundación Socinfo","http://www.ctpdandalucia.es/es/content/transformacion-digital-de-las-aapp-en-andalucia-fundacion-socinfo"
2016-10-03,"La calidad democrática: transparencia y rendición de cuentas","http://www.ctpdandalucia.es/es/content/la-calidad-democratica-transparencia-y-rendicion-de-cuentas"
2016-09-14,"Día internacional del derecho a saber","http://www.ctpdandalucia.es/es/content/dia-internacional-del-derecho-saber"
2016-09-13,"Visita a la Diputación de Cádiz","http://www.ctpdandalucia.es/es/content/visita-la-diputacion-de-cadiz"
2016-09-12,"El Consejo sube a la web 15 nuevas resoluciones","http://www.ctpdandalucia.es/es/content/el-consejo-sube-la-web-15-nuevas-resoluciones"
2016-09-05,"Transformación digital de las AA.PP. en Andalucía","http://www.ctpdandalucia.es/es/content/transformacion-digital-de-las-aapp-en-andalucia"
2016-09-02,"Congreso internacional de transparencia organizado por la Universidad Complutense de Madrid","http://www.ctpdandalucia.es/es/content/congreso-internacional-de-transparencia-organizado-por-la-universidad-complutense-de-madrid"
2016-09-02,"Seminario de investigación - Forma de gobierno y aspectos institucionales de la participación en los sistemas de gobierno multinivel","http://www.ctpdandalucia.es/es/content/seminario-de-investigacion-forma-de-gobierno-y-aspectos-institucionales-de-la-participacion"
2016-09-02,"El Consejo de Transparencia y Protección de Datos de Andalucía participa en el III Congreso Internacional del avance del Gobierno Abierto / I Congreso de Buen Gobierno y Transparencia de la Comunitat Valenciana","http://www.ctpdandalucia.es/es/content/el-consejo-de-transparencia-y-proteccion-de-datos-de-andalucia-participa-en-el-iii-congreso"
2016-08-08,"Transparencia un instrumento contra la corrupción","http://www.ctpdandalucia.es/es/content/transparencia-un-instrumento-contra-la-corrupcion"
2016-08-08,"Profesionales del ámbito legislativo debaten en Almería sobre cómo acabar con la corrupción","http://www.ctpdandalucia.es/es/content/profesionales-del-ambito-legislativo-debaten-en-almeria-sobre-como-acabar-con-la-corrupcion"
2016-08-08,"El Director del Consejo ha participado en el Foro Mundial de Administración Pública","http://www.ctpdandalucia.es/es/content/el-director-del-consejo-ha-participado-en-el-foro-mundial-de-administracion-publica"
2016-08-08,"Transparencia y Regeneración Democrática","http://www.ctpdandalucia.es/es/content/transparencia-y-regeneracion-democratica"
